dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
768,BM25,,,15.906254020182931,19.820826769921364,20.37164096191874,35.899280760391875,12.386426602026246
768,Base,0.7412939071655273,0.5494493842124939,39.09459043534009,46.331009784884365,45.71956678438159,73.13851015239904,33.2271556344815
384,PCA-White,0.0113177010789513,0.0001266504841623,34.02457185009532,40.33240032044315,40.03033703265184,64.37739301165227,28.552324874091155
384,Soft-White,0.0116639845073223,8.044513378990814e-05,35.0797634363602,41.622023925116174,41.40250781454484,66.7024158112121,29.4924349989115
384,Random,0.0189898591488599,0.000586332695093,35.279473919853814,42.71528875872839,42.088788697585,70.10729454016492,29.56400655832739
384,LPP,0.0195124447345733,0.0006447707419283,36.76232071369845,44.2554085282773,43.48589681923015,71.52422123486937,31.17858171463238
192,PCA-White,0.0132056195288896,0.0003830469213426,35.204382979164656,41.70550162820539,42.13882996290403,66.21129641962975,29.437664068060904
192,Soft-White,0.0135558396577835,-4.1433195292484015e-05,35.92651247498232,42.58101934375252,42.6880167157945,67.37513386818944,30.18775583033349
192,Random,0.018115920946002,-0.0001236393582075,32.26082155624212,38.98837392905487,38.22745541495541,63.9476118874267,26.79305755375086
192,LPP,0.0207092985510826,0.000606897403486,33.21103958576755,40.55691366566369,40.206863181400216,67.87636703145962,27.750778421064084
96,PCA-White,0.0145508833229541,0.0003004364843945,31.198943892433626,38.45639898009991,38.15017244415392,66.25122776743146,25.7377098972921
96,Soft-White,0.0149155873805284,-0.0001641332055442,31.606662229399703,38.9588634075536,38.61919801734616,67.08756178663586,26.07778101913428
96,Random,0.0183283649384975,-0.0002997612464241,23.782297170813795,30.22566945526151,28.76954792464052,53.84688399734696,19.40873060252832
96,LPP,0.0212704557925462,5.666547440341674e-05,28.14063110027873,35.24929001781057,34.8011620581065,61.9247671909709,22.97063389411526
48,PCA-White,0.0159938558936119,0.0001240832789335,22.660850107747567,29.90504515105886,28.70523252467697,56.49195626047477,18.40073050486143
48,Soft-White,0.0163260567933321,0.0004006764502264,22.78248537976144,30.151508901751296,29.113442712979747,57.68004414995156,18.42867679114444
48,Random,0.0194026846438646,0.0008372439187951,14.044734159385031,19.411610404376496,17.76535921211847,39.31818867004051,11.05132900223224
48,LPP,0.0218987092375755,-0.0001444788795197,21.61178616358971,28.24534063619646,27.250879693009328,52.73318973550455,17.43855713200178
24,PCA-White,0.0187362451106309,-0.000115316157462,11.770266117511504,18.069890267688525,15.268165048257645,40.22210385636312,9.415528360051956
24,Soft-White,0.0188916716724634,0.0003410187782719,11.946760155116444,18.57772305870625,14.999389328093033,41.07908081287711,9.762562548627836
24,Random,0.0195654891431331,0.0003396272077225,5.281736103720848,8.63738075523888,6.944706099798692,20.33659027871991,4.136229913148974
24,LPP,0.0214901156723499,0.0011105306912213,12.78008616710684,19.39005382833241,16.553070985941357,42.62165774897257,10.359709483495234
12,PCA-White,0.0208326764404773,0.0004781991010531,5.9976704756558,11.37904468227798,9.868088444477332,32.02997919433104,4.561689039349279
12,Soft-White,0.0207345690578222,0.0010351606179028,6.150290581962007,11.47706447050581,10.032697497975276,31.950246684042977,4.669384723356818
12,Random,0.0221625864505767,-0.0007505358662456,1.2535894426413332,2.645664548110448,1.528946876169098,7.329962989685212,1.1043214451624086
12,LPP,0.0284264143556356,-1.375103875034256e-05,4.720326358789865,9.373361327433448,7.043227691375839,25.811908855890337,3.694289959567074
6,PCA-White,0.0257041435688734,-8.491527842124924e-05,1.1114679241676808,3.78993450428572,1.995884773662552,13.602109053497944,0.9357426669209692
6,Soft-White,0.0253384783864021,0.0011327130487188,1.1293487162355236,3.821363876151942,2.034465020576132,13.684710351377015,0.9481038547856432
6,Random,0.0193528234958648,0.0003287260769866,0.0218004587746649,0.2977209468117132,0.0514403292181069,1.241549088771311,0.0416329486262036
6,LPP,0.0378852263092994,0.0022391101811081,0.496118443533141,1.74331026185024,0.7458847736625515,5.939275916127768,0.4231905122627847
384,NCWP,0.0116007821634411,0.0002179416042054,29.07183496401538,35.326464320898424,34.76761835558131,58.36935569574459,24.21122006459031
192,NCWP,0.0124261593446135,0.0003882368619088,28.820021663362848,34.85586467537157,35.25642952726285,58.04118806433621,23.5953532724288
96,NCWP,0.0138041377067565,0.0006011666264384,22.37565446531252,28.63535816437729,27.996055727537204,52.44862947409244,18.022484740564792
48,NCWP,0.015618928708136,0.0003716579230967,15.733236513003796,21.701280741912043,20.63928698187957,44.14462552194034,12.528816691347838
24,NCWP,0.0194725766777992,0.0008964433800429,8.80328790122924,14.249586386441578,11.881764069264069,33.97398040916559,7.103159316328431
12,NCWP,0.0253885071724653,0.0008503182907588,2.72600310984408,5.1357188834879,4.045798594409705,13.931677890011224,2.03797716318888
6,NCWP,0.0285137332975864,0.0008506368030793,0.6367776328482064,1.418090324179867,1.015946502057613,4.292829084495751,0.5638474218189001
24,ZCA-only,,,6.057206594495505,9.31759382465819,7.415925124258457,20.7146283072209,4.880354209567248
48,ZCA-only,,,15.3270172589789,20.289867688314686,19.174996813885702,39.153967174800506,12.06985049172095
96,ZCA-only,,,24.68907727520229,30.98331872756321,29.62168704066852,53.62164327442106,20.169612561027055
192,ZCA-only,,,30.799959934207262,37.32360241861004,36.613897505101214,61.08809957189587,25.70794788933142
384,ZCA-only,,,30.96141403489638,36.60043744610212,36.58448804282138,57.711093775908594,25.888439492893824
