dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
4096,BM25,,,15.906254020182931,19.820826769921364,20.37164096191874,35.899280760391875,12.386426602026246
4096,Base,0.7228084206581116,0.5224908590316772,3.1638179108825626,5.83920318045991,4.533282646708573,15.3699875227653,2.4345288208157108
2048,PCA-White,0.0101225385442376,0.0001029529012157,13.248477678246385,19.618337877716066,18.268724588169032,43.21938478188477,10.60945412089224
2048,Soft-White,0.0105622224509716,0.0001087262280634,12.874126576566242,19.316546074239167,18.13240771574105,43.20945472565843,10.249213825844778
2048,Random,0.0260336995124816,0.0011586168548092,3.068686693055596,5.426675190006017,4.168796738241182,13.560752090844682,2.3811169496371885
2048,LPP,0.0259895883500576,0.0007825373904779,3.3782774710927512,6.013192527335711,4.742356409023076,15.882364377734747,2.545059438398428
1024,PCA-White,0.0107780173420906,0.0001467460242565,11.36829937384563,17.663233082342515,16.58864669281336,40.95380185657964,8.945574872887171
1024,Soft-White,0.011317953467369,0.000176646237378,10.772228232624402,16.913145915771043,15.876198133142577,39.63380626575071,8.449836593777253
1024,Random,0.0257624443620443,0.0002045967266894,3.214457297614617,5.79209360131322,4.47486669708892,15.065565435935808,2.516476125378156
1024,LPP,0.0264885835349559,0.0010546628618612,2.731529209427677,5.129263954581481,3.840981549314882,13.751448739874666,2.082166252361568
512,PCA-White,0.0114914588630199,0.000174728615093,8.90020223206877,15.25817226457896,12.93780122483826,38.05740512916439,7.127130138599718
512,Soft-White,0.012202950194478,0.0001032061627483,8.249325742225732,14.340624483529693,12.201215279918983,36.515726214800296,6.587141001775349
512,Random,0.0264785271137952,-8.506427548127249e-05,3.545883939448173,6.030314615218021,4.880504868930795,15.18957893957894,2.678310827094744
512,LPP,0.0270270593464374,0.0005727347452193,2.1610693271944243,4.466881239124356,3.006065436620992,12.510888888203702,1.7214014224049532
256,PCA-White,0.0128688691183924,0.0001500389626016,6.531206695786231,11.860038056080471,10.059827860753783,32.04409573622537,5.132693311879911
256,Soft-White,0.0135434903204441,-7.960715447552502e-05,5.697900429687258,10.93907208792188,8.894407632833557,30.674506392098987,4.499772183253448
256,Random,0.0260243490338325,0.0015230618882924,2.4498218080955354,4.689865088146973,3.650652331207887,12.998766494136865,1.897992462842076
256,LPP,0.0277508776634931,0.0005256268777884,1.8075810188850443,3.876086399958784,2.4659419798308684,10.777349793553498,1.4649895400974036
128,PCA-White,0.0140436710789799,-0.0001210499758599,2.655312858461595,6.346963889327732,4.496135294746406,19.984448850189587,2.0376511541363445
128,Soft-White,0.0148485507816076,0.0001151896794908,2.7015508797724714,6.3275031163515445,4.583767569878681,19.95254359837693,2.0626751918413766
128,Random,0.0225191954523324,0.0006307809380814,1.7754056731010954,3.5368835637633995,2.6249265138154025,9.656643082569008,1.415662407905015
128,LPP,0.0286058373749256,0.0005748466355726,1.4431214812746156,3.3341415380800843,1.9103864242753128,9.448719576034389,1.2083453731114449
64,PCA-White,0.0160701088607311,-0.0001880373747553,2.3890701677454644,5.152621832833856,3.767514207329022,15.122489821563894,1.862094649990012
64,Soft-White,0.0168915335088968,0.0003066616482101,2.225683233450668,4.984222714952087,3.3302714089751126,14.608086529382824,1.8374120687322284
64,Random,0.0250384919345378,1.6401247194153257e-05,1.320960489753439,2.7715872954921044,2.3143249069175,8.102944723315094,0.9083910169117292
64,LPP,0.0297289714217185,0.0006727795698679,1.2701121735651804,2.826902186144185,1.828081897526342,8.292648281074207,0.9488693752353352
32,PCA-White,0.0193145014345645,0.0006577214226126,0.9956400760946292,2.4334827931220686,1.3277728786988048,7.415681883274476,0.8263061902553258
32,Soft-White,0.0201839469373226,0.0001238828117493,1.013201574131024,2.3724019433582737,1.4306535371350186,7.2576197807679295,0.7821895342039339
32,Random,0.0200607143342494,0.0007419791072607,0.8566794022621012,1.528078530411994,1.179269547325103,3.9593855218855216,0.658016148434614
32,LPP,0.0308375731110572,0.0008506762096658,0.6049384539360755,1.6829924194286507,0.8764358069913625,5.180625273217865,0.4491698605725416
16,PCA-White,0.0267220120877027,0.0002952669747173,0.5392205615095698,1.2861168984579032,0.7376599737710848,3.858608812312516,0.3953338334313261
16,Soft-White,0.0275697130709886,0.0001212438437505,0.5390697314857721,1.29775835272184,0.7247998914665581,3.910049141530623,0.3966511769641122
16,Random,0.0294447317719459,0.0006960522732697,0.336660724704889,0.7856551342878082,0.5902777777777778,2.380401234567901,0.25387913392953
16,LPP,0.036061517894268,0.0019811051897704,0.4797640140869095,0.982692224365648,0.8072881336770225,3.0232640302084746,0.2442428351336514
