method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,512,512,base_dim_512.pt,0.49742878157232895,0.5747886069135264,0.48324636489873896,0.5594867732571996,0.48324636489873896,0.5594867732571996,0.4667812369096011,0.5406484871607024,0.4371073243481992,0.5137663376806808,0.48886430871685116,0.5675783082836242,0.44232996428091836,0.5145576161315994,0.5212333423673042,0.593329606631143
PCA-Whitening,512,2,base_dim_512.pt,0.1553014756498614,0.16173214330722166,0.16691842999842577,0.1853007752858394,0.16691842999842577,0.1853007752858394,0.16183792708033043,0.17610938291906358,0.1548127991085644,0.1683908303864162,0.1851771784929783,0.1913602446502144,0.1585331765069935,0.17163326642446125,0.20492788954082952,0.20885769160347184
PCA-Whitening,512,4,base_dim_512.pt,0.2850426514890866,0.35064823318997973,0.28486385678351495,0.3448955876420677,0.28486385678351495,0.3448955876420677,0.263487051818205,0.32344532014700733,0.24235113591601004,0.2884881656008516,0.2946129965029397,0.3467518568619117,0.2413287999517013,0.28538139114144717,0.31036121461373023,0.3622887896033402
PCA-Whitening,512,8,base_dim_512.pt,0.4479581475746436,0.535027796960145,0.4385495815893389,0.5215428794370737,0.4385495815893389,0.5215428794370737,0.4046079292418229,0.48356448225100074,0.34686394895310513,0.42133018871166555,0.39911558077563086,0.4738645017796741,0.34646568955565327,0.41953487563822184,0.4207811376529061,0.4932541315821583
PCA-Whitening,512,16,base_dim_512.pt,0.4823948697713739,0.5580467336507126,0.45072962251712284,0.521589391393337,0.45072962251712284,0.521589391393337,0.44497966606912087,0.5149308003823262,0.4306159710187371,0.5043523059499382,0.4912436677052459,0.5634660828913431,0.4326290846248872,0.5044416854779527,0.5175414520067931,0.5860549220374807
PCA-Whitening,512,32,base_dim_512.pt,0.5100851701646846,0.579671866641354,0.473957495931574,0.5500800867388895,0.473957495931574,0.5500800867388895,0.4709851415352345,0.5450239737167647,0.4798872231468465,0.553715509838014,0.5328672138231432,0.6071146807197443,0.48596101187586194,0.5545731652098491,0.5642983283380226,0.6315117419280347
PCA-Whitening,512,64,base_dim_512.pt,0.5091017797031862,0.5903180530959365,0.4877280856087308,0.565736886844537,0.4877280856087308,0.565736886844537,0.47934630185323984,0.5583417454333128,0.4909238267915857,0.5629245719233162,0.5443468262986682,0.6127586830003369,0.49779130694199814,0.5690864037691183,0.5791172368114611,0.6470680783678125
PCA-Whitening,512,128,base_dim_512.pt,0.5182653759649052,0.6018705402356189,0.4994707110186688,0.5787324244422067,0.4994707110186688,0.5787324244422067,0.4885784082898302,0.56904581167788,0.5006871844148718,0.5715057827474773,0.5608145484445225,0.6267229744491476,0.5077424637117764,0.5777766106694195,0.6018696451033723,0.6667706664030294
PCA-Whitening,512,256,base_dim_512.pt,0.5120277154630603,0.5948721948912079,0.4955270931276139,0.5800925245196074,0.4955270931276139,0.5800925245196074,0.485192073211038,0.5681791600081505,0.5004936864575045,0.5711104597003424,0.560876167432369,0.6313868204430484,0.503450237475584,0.5738494648657351,0.5979174412171598,0.667349147497576
Soft-Whitening,512,2,base_dim_512.pt,0.15529817660855952,0.16173214330722166,0.1669156703835843,0.1853007752858394,0.1669156703835843,0.1853007752858394,0.1618362002375573,0.17610938291906358,0.1569426059406595,0.1712177802200181,0.191104912236516,0.19739621276539804,0.16068704895301056,0.17449215919403605,0.21152571492494104,0.21557598654906754
Soft-Whitening,512,4,base_dim_512.pt,0.28392556532535707,0.3494298901012185,0.2827732696193084,0.3431377581780627,0.2827732696193084,0.3431377581780627,0.26164412156545314,0.3219033644768275,0.2401046019537178,0.28449984713037707,0.29229584225527067,0.34148435012358924,0.23873384546930274,0.2810790862410121,0.3075244302010008,0.35615934192828097
Soft-Whitening,512,8,base_dim_512.pt,0.4490678508205113,0.5339648849566883,0.44131287720324974,0.5222650007175533,0.44131287720324974,0.5222650007175533,0.407087242377427,0.48421796633436504,0.3473140194923666,0.4204800370116657,0.4008448034022456,0.47482657296422626,0.34711134554812606,0.41936267497386465,0.42346676272325107,0.4964059311978292
Soft-Whitening,512,16,base_dim_512.pt,0.4763766132114194,0.5523062672325069,0.45096698463633267,0.5210582686236142,0.45096698463633267,0.5210582686236142,0.4451164334152241,0.5144234428224465,0.42380086101608855,0.5030390973192489,0.4814552964474542,0.557838557229362,0.42628640112258903,0.5019332624530277,0.5082337775693252,0.5784580237203506
