method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,1024,1024,base_dim_1024.pt,0.44737993945790394,0.5280909485153474,0.440023673425099,0.5297121179736792,0.440023673425099,0.5297121179736792,0.422219994363836,0.5026054659618416,0.43556708967654373,0.5207858258293192,0.49172518723355846,0.5678404140480642,0.4298737073380501,0.5132130966486836,0.5012725931920768,0.5792437577674304
PCA-Whitening,1024,2,base_dim_1024.pt,0.1640951423392161,0.17985493336909456,0.1762871705570658,0.19788409023822978,0.1762871705570658,0.19788409023822978,0.15548612603529327,0.173389151445827,0.12976182131376832,0.1484609480925511,0.18845799849807218,0.20503623771628426,0.1366606969110241,0.15263492486081556,0.21744957845811455,0.22861025421351575
PCA-Whitening,1024,4,base_dim_1024.pt,0.30859544664891353,0.36120492189557557,0.3343612671587557,0.38556066196282407,0.3343612671587557,0.38556066196282407,0.29842462773515144,0.3442240555216922,0.24786327324044355,0.29855569339615573,0.3081418517245316,0.3629655583960888,0.2484494613462002,0.29801760581174924,0.3304630386382014,0.38386137373563206
PCA-Whitening,1024,8,base_dim_1024.pt,0.3804039792693037,0.4518358576182158,0.36351786840513794,0.43560987997046896,0.36351786840513794,0.43560987997046896,0.3539411113999198,0.418796651017699,0.3652643708398501,0.4417897364122275,0.40042617365616917,0.46936037670571007,0.3624439152703862,0.43503940169324923,0.4071934494590146,0.4720428511704366
PCA-Whitening,1024,16,base_dim_1024.pt,0.4381098070246554,0.5062773521297712,0.4129373878342871,0.48102903530276997,0.4129373878342871,0.48102903530276997,0.4004059524529785,0.46088979881106173,0.4332596395415129,0.5060015744914317,0.4703180413925775,0.5326608868654612,0.4234496248759346,0.4930030713953025,0.4682702662791435,0.5284726127779333
PCA-Whitening,1024,32,base_dim_1024.pt,0.46552314997662636,0.5402549496338823,0.4362274341721206,0.5175542653346867,0.4362274341721206,0.5175542653346867,0.4302482931931153,0.5015609311482644,0.47225603923588855,0.5453881173178939,0.5294587478115187,0.5897759065826199,0.4667212755280255,0.5375691422189492,0.5378048188471652,0.5976051965325077
PCA-Whitening,1024,64,base_dim_1024.pt,0.4775033272114396,0.549011758403947,0.4535304082895455,0.5339695214260786,0.4535304082895455,0.5339695214260786,0.4441482572957629,0.5145788006769733,0.48527269939585393,0.5603353743002423,0.5427418902160943,0.6041061370038172,0.48357496700950103,0.5577290693003851,0.5615842934636753,0.6224136238034796
PCA-Whitening,1024,128,base_dim_1024.pt,0.4989470407881868,0.5645682512703082,0.4798084617674402,0.5567794491065395,0.4798084617674402,0.5567794491065395,0.4681897224573495,0.5348662610055912,0.5001193989709797,0.575815727737805,0.5529034698243191,0.6145091640314759,0.5006680712663445,0.5758412922591394,0.5776604931073855,0.6384780367224029
PCA-Whitening,1024,256,base_dim_1024.pt,0.4915573355574628,0.5612662245095618,0.47901707894854484,0.5639691962585688,0.47901707894854484,0.5639691962585688,0.4663629536761766,0.5405170315157536,0.5022565027869748,0.581485700198765,0.5524213655031398,0.6207558831187282,0.502106505130985,0.5800135096871558,0.5730856845257233,0.6409402885053045
PCA-Whitening,1024,512,base_dim_1024.pt,0.49985279042753644,0.5641480122035654,0.4892949542740153,0.5655511969669956,0.4892949542740153,0.5655511969669956,0.4709359420743202,0.5402362926611887,0.5057124375315014,0.5829915537644359,0.5512379274105751,0.6210611895118772,0.5096632549434035,0.5842176213706849,0.583334808959702,0.6490199392956641
Soft-Whitening,1024,2,base_dim_1024.pt,0.16293878483680835,0.17892449213676465,0.17508846660110527,0.1969443445935766,0.17508846660110527,0.1969443445935766,0.1544378439535213,0.1725648131610435,0.12930707752399687,0.148770293134901,0.18791559013840664,0.2059065108182685,0.13610627366880754,0.15286621232668499,0.21669222784746067,0.2294533853085787
Soft-Whitening,1024,4,base_dim_1024.pt,0.3132847723304352,0.3634291955364398,0.3341786808413403,0.3844864232447591,0.3341786808413403,0.3844864232447591,0.29823639401366553,0.3433584654584365,0.24892910444902197,0.298131287167337,0.30882267439855915,0.36205654410017274,0.25017406576696877,0.2977599747696204,0.3300509407900875,0.3818756160866448
Soft-Whitening,1024,8,base_dim_1024.pt,0.37880997303012787,0.4496804701470277,0.36720882222428886,0.4367255944031172,0.36720882222428886,0.4367255944031172,0.3570393868847496,0.4203484898310309,0.3676304059128643,0.4440254706525302,0.4014793056993284,0.4701044884494212,0.36701875221882013,0.43875930374488725,0.40953025593633113,0.4738751626443987
Soft-Whitening,1024,16,base_dim_1024.pt,0.43654498615479664,0.5089985705685218,0.4117173758413491,0.4836372680385919,0.4117173758413491,0.4836372680385919,0.39822601331495366,0.4624685364241874,0.4295385105656349,0.5038715800795313,0.46709079591280767,0.5301831554437324,0.4196727364620149,0.49077359580868224,0.4646068325339823,0.5255687693522936
Soft-Whitening,1024,32,base_dim_1024.pt,0.45940123159144836,0.5355525175682606,0.4295629459112424,0.5120925555624068,0.4295629459112424,0.5120925555624068,0.42477589006516075,0.49734754562359446,0.46772857634569165,0.5411558430898978,0.5235927214560154,0.5865469301157692,0.4618443638181616,0.5327729343543721,0.5329403678517294,0.5943332589886678
Soft-Whitening,1024,64,base_dim_1024.pt,0.4699292201454862,0.5449305060756184,0.44474902753533163,0.5296515914010596,0.44474902753533163,0.5296515914010596,0.43661280151616716,0.5098288651470743,0.47904145185628944,0.5556402532364421,0.5327735288747746,0.5963661333031454,0.47831786151019123,0.553334243738312,0.553774707156846,0.6149895588826848
Soft-Whitening,1024,128,base_dim_1024.pt,0.4916764768906729,0.5601183736538278,0.474145560143631,0.5533022651725126,0.474145560143631,0.5533022651725126,0.46146533478513707,0.5300039496820705,0.4909488005739489,0.5675433252351609,0.5471353574495267,0.6094126115538621,0.4932662423278479,0.5675395241273904,0.5709129222845235,0.6309040545483011
Soft-Whitening,1024,256,base_dim_1024.pt,0.4931887295147572,0.562150531946952,0.4777782290418369,0.5600435983453841,0.4777782290418369,0.5600435983453841,0.4646277882367691,0.5369879975441353,0.4974671745832379,0.5764778461816586,0.544774553061417,0.6119096710462938,0.49963999590174113,0.576504730845628,0.5680875062319535,0.633396491161754
