method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,128,128,base_dim_128.pt,0.42235240724600265,0.5014456794746761,0.4568468623360112,0.5263785065041089,0.4568468623360112,0.5263785065041089,0.42815927506747853,0.4967984566638625,0.41959268221486523,0.4965175444012135,0.48434134132188267,0.5510330554495613,0.41646659312770506,0.4944775244316171,0.5066672147478936,0.57712179722911
PCA-Whitening,128,2,base_dim_128.pt,0.19910626835969228,0.22926673621326557,0.1819247850248818,0.21227274910927793,0.1819247850248818,0.21227274910927793,0.18850363768936995,0.21292403399188373,0.15213513563494407,0.18003602842565014,0.206379516732579,0.23623725498374767,0.15997618314074177,0.1879151644924423,0.2384031075973208,0.27179033205416264
PCA-Whitening,128,4,base_dim_128.pt,0.2654771868577654,0.30900672384305383,0.28826610240095796,0.3367016994517061,0.28826610240095796,0.3367016994517061,0.27490903439780806,0.31653342220068814,0.2571176067604697,0.3043008321089971,0.3319466282992537,0.38112949352908443,0.2580537951008716,0.3013021598402772,0.35611222642129436,0.4000441982241491
PCA-Whitening,128,8,base_dim_128.pt,0.38235880677786055,0.4652927578757827,0.42244958110751113,0.49906307868399885,0.42244958110751113,0.49906307868399885,0.38140922494024904,0.4580432474774114,0.37417778303386073,0.4516468127263378,0.44262414646225784,0.5101749307461968,0.369357537581134,0.4447876025787874,0.4577863975679019,0.5242057886484864
PCA-Whitening,128,16,base_dim_128.pt,0.4344896579573092,0.5034596598691911,0.4561256942428515,0.5200962475471452,0.4561256942428515,0.5200962475471452,0.4315741738589449,0.49550237691617327,0.4139765243199584,0.491894757207761,0.48846034500973806,0.5590640625309662,0.40854605328816695,0.48714637006386047,0.5050071950065432,0.5798573765737468
PCA-Whitening,128,32,base_dim_128.pt,0.45667593804906365,0.5335203791499359,0.4734750621499899,0.5452550403033155,0.4734750621499899,0.5452550403033155,0.4533014404899942,0.5218231490736439,0.45527002398777194,0.5256872613066859,0.5228900188947407,0.5863772985741591,0.45622262340329095,0.5270572254191984,0.5551394578644641,0.6181257924525909
PCA-Whitening,128,64,base_dim_128.pt,0.4534255372079906,0.5310443488559304,0.4766061542573722,0.5507295137531107,0.4766061542573722,0.5507295137531107,0.45073940952821445,0.5223352364682058,0.4588692610920865,0.5323153492106082,0.5316330482390756,0.5985419130709971,0.45906417883036904,0.5336538487881661,0.5634077431681421,0.6311267449274535
Soft-Whitening,128,2,base_dim_128.pt,0.19905526238303,0.22926673621326557,0.18188301791491723,0.21227274910927793,0.18188301791491723,0.21227274910927793,0.18846364804402563,0.21292403399188373,0.15211515689702002,0.18003602842565014,0.20635019714179417,0.23623725498374767,0.1599566496513552,0.1879151644924423,0.23837204939343096,0.27179033205416264
Soft-Whitening,128,4,base_dim_128.pt,0.2669722388777049,0.31014318718882866,0.2885959598809362,0.33714189715822923,0.2885959598809362,0.33714189715822923,0.27514620972961745,0.31690134366066813,0.2572573198172369,0.3026293363830411,0.3334282536937612,0.3825368603825412,0.2572465565037892,0.29885030913344135,0.3570243567432294,0.40100784618341745
Soft-Whitening,128,8,base_dim_128.pt,0.3817538461757219,0.4659290355290861,0.422142493146739,0.49982064829999456,0.422142493146739,0.49982064829999456,0.38113512589599385,0.45870778222828473,0.3733428919093513,0.45319071403624517,0.44122725659489537,0.5112555450807106,0.3687514609591196,0.4465313928310413,0.4565917928927474,0.5257781722017725
