dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
768,BM25,,,13.661928271237905,19.53538064073453,14.010000000000003,31.22666666666667,9.237940120747728
768,Base,0.7325303554534912,0.5364799499511719,21.467435089829337,31.04261597464413,22.778333333333336,51.03833333333334,15.436589304711248
384,NCWP_Default,0.013950022868812,0.0001060431604855,16.74054689945816,23.75540374268655,17.663333333333334,38.105,11.621936093056442
192,NCWP_Default,0.0149350278079509,6.126186781330034e-05,16.45292082770747,23.881601462728923,17.368333333333332,39.278333333333336,11.347063655737106
96,NCWP_Default,0.0136743122711777,0.0002520962734706,14.825169248291289,21.8931097043672,15.598333333333333,36.47833333333333,10.047386713070887
48,NCWP_Default,0.0142737664282321,0.0002870028838515,10.802613917101624,17.19147540690174,11.483333333333333,30.488333333333333,7.174349652574122
24,NCWP_Default,0.0183685570955276,0.0003844513848889,6.8201191538341615,12.16581273779067,7.52,23.8,4.420127565654543
12,NCWP_Default,0.0184494946151971,0.0011561617720872,2.3611909908534963,5.084825529050169,2.9233333333333333,11.413333333333334,1.3693090198608988
6,NCWP_Default,0.0257241670042276,0.0004388734232634,0.6250967365181296,1.9673521933586116,0.7433333333333334,5.046666666666667,0.4030032225031782
