dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
2560,BM25,,,26.78122440932194,23.59589723687648,12.411720311195456,21.865410920685964,11.469082449583462
2560,Base,0.8822667002677917,0.7783336425400544,1.958630046714805,3.4165565368494937,0.7017106286551296,5.483360859540251,0.4921168118124334
1280,PCA-White,0.0051464345306158,-0.0002488373193172,11.192345640201127,11.6856170632509,5.585344877812637,14.043609652364683,4.404950852105642
1280,Soft-White,0.0065385750494897,-0.0002325656516255,10.11603822910648,11.173950907228216,5.5079489696727295,13.985469359137728,3.873307467719911
1280,Random,0.0249235518276691,0.0003460246362823,1.6917177422831473,2.9580870316374743,0.7114519165979818,4.549382867344097,0.3659941322032873
1280,LPP,0.024961968883872,0.0003479410441683,1.4067442224216442,3.000306203132921,0.6283305779754801,4.974496052941756,0.337213974246466
640,PCA-White,0.007194893900305,-0.0002235496755967,9.241190908888422,10.07817587270248,5.24988681753459,12.09144069718637,3.413085970057754
640,Soft-White,0.0087082628160715,-0.0001994756988964,7.868701507746436,9.572770612143872,4.735842763926279,12.78416844107758,2.964691644566566
640,Random,0.0246864762157201,0.0003342595689225,1.732625578058023,3.000624808929764,0.7228075276255375,5.00618830955206,0.3454639070147382
640,LPP,0.0257857050746679,0.0003897554301067,1.4665642670726526,2.91356731594174,0.6816446199256407,4.783135060536181,0.3320773169424447
320,PCA-White,0.0095927221700549,-0.0001832847203102,5.554988819718614,7.824813258223308,3.027375266174573,11.274908299625396,1.9437396004761056
320,Soft-White,0.0111154941841959,-0.0001517421167093,4.903767904575542,7.433128249428261,2.909618140244712,10.913175355536472,1.7556035430418486
320,Random,0.0233459826558828,0.000269854379727,1.439051608854677,2.8209183945767395,0.5969204284660072,4.735993556422572,0.3475282647016206
320,LPP,0.0264823175966739,0.0004261763571475,1.3933074650658055,2.8081058431172057,0.5551596867801762,4.504869669970489,0.3160497076560756
160,PCA-White,0.0124745704233646,-0.0001196727118676,3.244510162656607,5.818805225178474,1.629239325762951,9.221507047175642,1.1315352467544595
160,Soft-White,0.0138606466352939,-8.31599387549492e-05,2.813033713917687,5.281622721960576,1.3640311603640145,8.20011038481591,0.968224381445132
160,Random,0.0248241312801837,0.0003410777520809,1.3690801112844762,2.658951182233388,0.5154577711946569,4.111317944216838,0.2937325953279494
160,LPP,0.0269039627164602,0.0004486919665214,1.3854712078036124,2.8259026127057534,0.535464864899914,4.622317059085878,0.3291809031482909
80,PCA-White,0.0157622508704662,-2.6813446766775755e-05,1.8666928738016493,4.135923894251578,0.8425570965425295,6.473177914082921,0.5234762574293279
