dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
4096,BM25,,,26.78122440932194,23.59589723687648,12.411720311195456,21.865410920685964,11.469082449583462
4096,Base,0.7881402373313904,0.6210607215308521,4.226498536047992,7.388914977389484,2.5258440346774536,11.856510682067992,1.534815325384679
2048,NCWP_Default,0.0032329726964235,-0.0002648754123087,8.417993220169324,8.821934333879401,4.84990352599138,9.561854932926051,3.21399234416166
1024,NCWP_Default,0.0032415278255939,-0.0002648199975252,8.225132025170808,9.095877602324318,3.8698321399795823,10.601887405125796,2.9874530124485124
512,NCWP_Default,0.0034870873205363,-0.0002631672862986,7.54373166691822,8.197447664394094,3.955625309260627,9.585905151717006,2.721710737908043
256,NCWP_Default,0.0039460696280002,-0.0002597546422524,4.759365023501654,6.015998561304251,3.063434084856756,8.010474379034447,1.8109698822684488
128,NCWP_Default,0.0043186862021684,-0.000256674209371,2.42363557002324,3.66347472636798,1.0798109854100666,5.508580398865832,0.6754571266706462
64,NCWP_Default,0.0052408198826014,-0.0002478566534219,2.0280142344888,3.3775605086516087,1.0544670872769368,5.252411474281957,0.545756525411448
32,NCWP_Default,0.005959000904113,-0.0002398109449218,1.2476777307159634,2.6936207978431077,0.4082481036805739,4.8542383976738535,0.3128135465134983
16,NCWP_Default,0.0069033103063702,-0.0002276615450466,0.931276555488598,2.155004779258624,0.1702133094285618,4.1321490487256405,0.1845075986738732
8,NCWP_Default,0.0089357420802116,-0.0001954608561994,0.9948136335042672,2.252918729392732,0.4475772381399418,4.425359326051524,0.2598123139650691
4,NCWP_Default,0.0090083619579672,-0.0001941574893893,0.9333315988326152,1.964173204794923,0.2064900286328899,3.371488922939367,0.1872881894258946
