dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo,2560,0,2910,1379,spearman_x100,42.9413,raw echo full dim,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_full,2560,0,2910,1379,spearman_x100,63.5536,ZCA-shrink full D,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,40,0,2910,1379,spearman_x100,47.2983,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,40,0,2910,1379,spearman_x100,54.8956,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,40,"[0, 1, 2]",2910,1379,spearman_x100,57.8737,ncwp_ref,1.0257
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,80,0,2910,1379,spearman_x100,54.3673,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,80,0,2910,1379,spearman_x100,55.9486,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,80,"[0, 1, 2]",2910,1379,spearman_x100,61.3006,ncwp_ref,0.4192
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,160,0,2910,1379,spearman_x100,59.9499,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,160,0,2910,1379,spearman_x100,58.3832,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,160,"[0, 1, 2]",2910,1379,spearman_x100,62.8176,ncwp_ref,0.3252
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,320,0,2910,1379,spearman_x100,62.4818,,
