variant,r=20,r=80,r=320
Random-pairs,42.32,54.28,56.62
No hard-neg,39.42,41.74,42.48
No memory bank,45.42,51.2,52.82
No-QR (final),45.21,50.85,51.84
No refinement,45.21,50.85,51.84
Full-NCWP-with-QR,43.21,48.89,52.0
PCA-whitening,32.19,46.68,52.81
Soft-White,27.97,40.9,47.69
Random,25.93,30.37,30.93
LPP,22.16,34.56,47.77
ZCA-only,30.25,35.03,48.95
