variant,r=20,r=80,r=320
Random-pairs,45.65,55.14,57.02
No hard-neg,38.95,37.87,36.36
No memory bank,44.63,51.65,53.47
No-QR (final),44.16,50.93,52.3
No refinement,45.62,50.93,52.3
Full-NCWP-with-QR,44.17,50.76,54.61
PCA-whitening,31.96,46.71,52.77
Soft-White,27.8,40.65,47.29
Random,25.93,30.37,30.93
LPP,18.16,21.84,26.41
ZCA-only,29.61,39.88,50.87
