dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,metric_name,metric_value,notes,fit_size,eval_size,std_if_available
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_full,3584,"[0, 1, 2]",spearman_x100,54.8958,m=5,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_shrink_full,3584,"[0, 1, 2]",spearman_x100,57.9851,full-dim ZCA-only,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,56,"[0, 1, 2]",spearman_x100,53.8241,,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[0, 1, 2]",spearman_x100,54.8881,ncwp_ref,6077.0,9927.0,0.2269
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,PromptEOL,NCWP_on_PromptEOL,56,"[0, 1, 2]",spearman_x100,67.9752,ncwp_ref,6077.0,9927.0,0.2464
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,112,"[0, 1, 2]",spearman_x100,54.7471,,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[0, 1, 2]",spearman_x100,55.6001,ncwp_ref,6077.0,9927.0,0.1088
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,PromptEOL,NCWP_on_PromptEOL,112,"[0, 1, 2]",spearman_x100,68.8406,ncwp_ref,6077.0,9927.0,0.483
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,224,"[0, 1, 2]",spearman_x100,56.4059,,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[0, 1, 2]",spearman_x100,56.231,ncwp_ref,6077.0,9927.0,0.0764
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,PromptEOL,NCWP_on_PromptEOL,224,"[0, 1, 2]",spearman_x100,69.0169,ncwp_ref,6077.0,9927.0,0.594
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,448,"[0, 1, 2]",spearman_x100,57.5553,,6077.0,9927.0,
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[0, 1, 2]",spearman_x100,56.3316,ncwp_ref,6077.0,9927.0,0.2798
SICK-R,test,qwen-8b,Qwen/Qwen2-7B,PromptEOL,NCWP_on_PromptEOL,448,"[0, 1, 2]",spearman_x100,69.6771,ncwp_ref,6077.0,9927.0,0.2141
