dataset,split,model_nickname,hf_model_id,embedding_type,method,r,fit_size,eval_size,metric_name,metric_value,notes,seed
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_full,3584,2910,1379,spearman_x100,48.7847,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,7,2910,1379,spearman_x100,24.9174,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,7,2910,1379,spearman_x100,29.6998,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,7,2910,1379,spearman_x100,31.3304,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,7,2910,1379,spearman_x100,22.7679,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,14,2910,1379,spearman_x100,29.3492,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,14,2910,1379,spearman_x100,35.0006,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,14,2910,1379,spearman_x100,35.8425,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,14,2910,1379,spearman_x100,32.1802,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,28,2910,1379,spearman_x100,32.4698,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,28,2910,1379,spearman_x100,40.3987,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,28,2910,1379,spearman_x100,38.454,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,28,2910,1379,spearman_x100,39.1709,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,56,2910,1379,spearman_x100,34.8943,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,56,2910,1379,spearman_x100,40.3242,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,56,2910,1379,spearman_x100,41.5788,m=5,
