variant,r=20,r=80,r=320
PCA-whitening,34.32,46.05,51.96
ZCA-only,37.31,42.51,51.28
Random-pairs,47.14,53.85,54.98
No hard-neg,42.01,49.45,49.45
No memory bank,42.01,49.45,49.45
No-QR (final),42.01,49.45,49.45
No refinement,41.93,49.43,49.51
Full-NCWP-with-QR,42.34,49.75,53.53
