dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
768,Base,84.19812027844465,85.88025265033795,93.0884237691918,99.06174954376908,80.45790593480884,0.8604001998901367,0.7402948141098022
384,NCWP_Default,84.63989670606928,86.36631820372878,92.78957215005312,98.98475812145551,81.12800465367714,0.0075290827080607,9.547927766107024e-05
192,NCWP_Default,83.74684368582419,85.53343775077127,92.14783377686985,98.62300631794784,80.16774450816801,0.0081030447036027,-6.150370609248057e-05
96,NCWP_Default,80.68033990015647,82.80922969564571,89.61957570090618,97.621452784481,76.9576751826909,0.0085820769891142,-8.041882324505423e-07
48,NCWP_Default,74.2188834070776,76.96036686028494,83.89348196086972,94.80586304941838,70.24784823966542,0.008837915956974,0.0002412351168459
24,NCWP_Default,43.76707198946023,48.95598997633802,55.99072535573156,78.52630385258952,39.87949936107553,0.0126779777929186,0.0005293594440445
12,NCWP_Default,11.502149576567373,17.06497196881081,18.70969810489384,44.90350127411706,9.883298151346958,0.0132866315543651,-0.0001626535376999
6,NCWP_Default,0.0883743667301511,0.3952966834851165,0.1941245300751879,1.7664583394546356,0.0891681077521377,0.0123583627864718,0.0001194055439555
