model,config,positive,k,ndcg,std,gap_vs_random
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,random,,57.0615,0.2501,
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,noise,,55.1738,0.2452,
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,knn,1.0,59.5975,0.057,2.536
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,knn,5.0,59.3411,0.2413,2.2796
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,knn,10.0,58.5104,0.0796,1.4489
qwen-4b,fit=20000 r=80 whiten=True minimal=False tau=0.0,knn,40.0,57.3803,0.0489,0.3188
