model,config,r,positive,k,ndcg,std,gap_vs_random
qwen-4b,fit=50000 r=40 whiten=True minimal=False tau=0.3,40,random,,43.5442,0.1868,
qwen-4b,fit=50000 r=40 whiten=True minimal=False tau=0.3,40,noise,,41.8522,0.3043,
qwen-4b,fit=50000 r=40 whiten=True minimal=False tau=0.3,40,knn,1.0,54.9328,0.1226,11.3887
qwen-4b,fit=50000 r=40 whiten=True minimal=False tau=0.3,40,knn,5.0,54.9821,0.231,11.4379
qwen-4b,fit=50000 r=80 whiten=True minimal=False tau=0.3,80,random,,57.5711,0.1688,
qwen-4b,fit=50000 r=80 whiten=True minimal=False tau=0.3,80,noise,,53.7067,0.1086,
qwen-4b,fit=50000 r=80 whiten=True minimal=False tau=0.3,80,knn,1.0,60.707,0.0695,3.136
qwen-4b,fit=50000 r=80 whiten=True minimal=False tau=0.3,80,knn,5.0,60.5125,0.1247,2.9415
