dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map
768,Base,51.02322179913216,53.82488246584335,84.67001612703137,96.71628830169952,38.888221674853554
384,PCA-White,51.83986060596511,54.130791281694755,88.81218211140056,98.56376380101725,38.78730618440488
384,Soft-White,52.21339795382628,54.43699909089429,89.59372286316834,99.06308150353553,39.03600246170273
384,Random,51.16480081371273,53.84270199481305,85.42302443865525,97.18769383451185,38.76758402027421
384,LPP,51.32323292226345,53.89726789127576,85.6872596452053,96.9240788983997,38.89798625654499
192,PCA-White,52.32944962416449,54.435367250894394,89.97115742463716,98.95949634040443,39.04604098610424
192,Soft-White,52.660870381491456,54.71605331652516,90.40906835380224,99.18279369805236,39.34193302345682
192,Random,49.907935842965514,52.93392192407208,82.82595211512219,95.94591241781416,38.00645494474246
192,LPP,48.72911708875181,52.021508668606565,81.25604763676965,95.62957449447958,37.04728922228657
96,PCA-White,53.31081300438236,55.26805436845961,90.62895422404168,98.92786254807095,40.08238752357738
96,Soft-White,53.586261357221034,55.54416329761691,90.76913534300957,99.14495720133979,40.379410744557184
96,Random,48.41952097911022,52.005701624943455,79.65078774345615,95.35727577223669,37.116737856822176
96,LPP,43.3200872407811,48.21554283780584,72.13000868378613,93.40528470413099,33.313107901230325
48,PCA-White,52.79478849740211,55.475173450920046,87.12597692593971,98.92103957325394,40.388488980033664
48,Soft-White,52.54764732332835,55.41508486909963,86.32210643840715,98.93964768639127,40.32913280757246
48,Random,45.256904837032636,49.233104191036645,74.3425133358144,92.16846545093661,34.58465110552989
48,LPP,29.810837184778592,37.73641033764132,52.65103585163131,87.88363726584791,23.00756875745806
24,PCA-White,33.87038968270981,41.31275808284155,58.74457263366828,91.24426249844933,26.14409235884611
24,Soft-White,31.663745681942366,39.571064529790135,55.671132613819616,90.306413596328,24.432582468516927
24,Random,32.33702412385384,38.17357659876033,53.417690112889225,79.78011412976058,24.93954252303429
24,LPP,12.025674588178461,21.907779621952876,22.905967001612705,68.77682669643964,9.98194792975282
12,PCA-White,3.0352997679883056,11.152979484812384,6.4080138940578095,46.05445974444858,3.199368646120837
12,Soft-White,2.8175313006688354,10.721766594927908,6.016623247736012,44.60426746061283,3.0235992656739445
12,Random,19.63201986069165,26.265649101759937,33.42947525120953,63.8934375387669,15.299849697200637
12,LPP,2.951675304405312,7.950486635624872,5.266096017863789,30.03814663193152,2.8929302148501534
6,PCA-White,0.4986532218682899,2.011993076559428,1.0358516313112518,8.808460488773104,0.4784110467996424
6,Soft-White,0.4776418234814909,2.0530079915787254,0.9614191787619403,9.022453789852374,0.48369038592508373
6,Random,1.2383309293309035,5.1833900725057225,2.7291899268080884,22.335318198734647,1.3312680876713912
6,LPP,0.5797011321616122,1.875095783429757,1.249844932390522,7.953107554893933,0.5134285914596385
384,NCWP,50.20045519866962,52.81372451489288,85.94715295868998,97.20971343505768,37.4427465260428
192,NCWP,49.66446479689395,52.611035633295444,84.67218707356406,97.21932762684531,37.16234761672255
96,NCWP,48.96441020797013,52.112204502267105,82.7633048008932,96.48585783401565,36.77583967191542
48,NCWP,47.298126898690604,50.82903790553053,79.75375263614937,95.00868378613075,35.55979201130834
24,NCWP,43.014735599985556,47.597550597783375,71.12175908696192,91.61611462597692,32.797927883702
12,NCWP,36.10874451499001,42.10010527344164,60.21988587023942,86.95106066244882,27.54154440037909
6,NCWP,8.567161548646483,16.570697855233814,16.720630194764915,54.302195757350205,6.954014457968613
